,CBSA Code,CBSA,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg,Year
0,10420,"Akron, OH",17.6,7.8,,,0.12,0.099,188.0,66.0,19.0,,,,,,1980
1,11780,"Ashtabula, OH",,,,,0.11,0.092,101.0,34.0,10.0,,,,,,1980
2,15940,"Canton-Massillon, OH",8.0,4.5,,29.0,0.1,0.087,,,,,,,,,1980
3,17060,"Chillicothe, OH",,,,,,,,,,,,,,,1980
4,17140,"Cincinnati, OH-KY-IN",10.0,6.0,70.0,26.0,0.16,0.11,190.0,55.0,14.0,,,,,,1980
5,17460,"Cleveland-Elyria, OH",16.3,11.0,,,0.12,0.097,516.0,125.0,18.0,,,,,,1980
6,18140,"Columbus, OH",20.0,12.1,,19.0,0.13,0.101,173.0,48.0,9.0,,,,,,1980
7,18740,"Coshocton, OH",,,,,,,,,,,,,,,1980
8,19380,"Dayton, OH",14.0,7.1,,,0.13,0.102,,,,,,,,,1980
9,22300,"Findlay, OH",,,,,,,,,,,,,,,1980
10,26580,"Huntington-Ashland, WV-KY-OH",,9.1,,,0.13,0.093,,,,,,,,,1980
11,30620,"Lima, OH",,,,,,,,,,,,,,,1980
12,31900,"Mansfield, OH",,,,,,,,,,,,,,,1980
13,31930,"Marietta, OH",,,,,,,,,,,,,,,1980
14,32020,"Marion, OH",,,,,,,,,,,,,,,1980
15,41400,"Salem, OH",,,,,,,,,,,,,,,1980
16,41780,"Sandusky, OH",,,,,,,,,,,,,,,1980
17,44220,"Springfield, OH",,,,,0.13,0.094,,,,,,,,,1980
18,45660,"Tiffin, OH",,,,,,,,,,,,,,,1980
19,45780,"Toledo, OH",12.5,5.8,,,0.14,0.101,255.0,86.0,13.0,,,,,,1980
20,48260,"Weirton-Steubenville, WV-OH",12.0,8.3,75.0,23.0,0.16,0.107,280.0,86.0,27.0,,,,,,1980
21,48540,"Wheeling, WV-OH",,4.9,,,0.09,0.062,,,,,,,,,1980
22,49660,"Youngstown-Warren-Boardman, OH-PA",11.0,6.0,175.0,41.0,0.12,0.091,185.0,60.0,13.0,,,,,,1980
0,10420,"Akron, OH",,8.9,,,0.24,0.108,365.0,117.0,21.0,,,,,,1981
1,11780,"Ashtabula, OH",,,,,0.14,0.099,,,,,,,,,1981
2,15940,"Canton-Massillon, OH",9.7,6.1,,,,,,,,,,,,,1981
3,17140,"Cincinnati, OH-KY-IN",12.5,9.6,73.0,26.0,0.13,0.096,359.0,106.0,14.0,,,,,,1981
4,17460,"Cleveland-Elyria, OH",18.0,9.9,,,0.12,0.098,155.0,59.0,16.0,,,,,,1981
5,18140,"Columbus, OH",22.0,10.0,98.0,22.0,0.11,0.092,,,,,,,,,1981
6,19380,"Dayton, OH",15.0,8.4,,,0.13,0.1,,,,,,,,,1981
7,26580,"Huntington-Ashland, WV-KY-OH",15.5,10.1,,,0.11,0.091,,,,,,,,,1981
8,30620,"Lima, OH",,,,,,,124.0,41.0,6.0,,,,,,1981
9,41400,"Salem, OH",,,,,,,250.0,86.0,28.0,,,,,,1981
10,44220,"Springfield, OH",,,,,0.12,0.105,,,,,,,,,1981
11,45780,"Toledo, OH",17.5,7.4,,,0.13,0.108,263.0,61.0,14.0,,,,,,1981
12,48260,"Weirton-Steubenville, WV-OH",12.0,8.3,75.0,21.0,0.1,0.063,315.0,117.0,23.0,,,,,,1981
13,48540,"Wheeling, WV-OH",7.2,9.2,,,,,,,,,,,,,1981
14,48940,"Wilmington, OH",,,,,0.13,0.1,,,,,,,,,1981
15,49660,"Youngstown-Warren-Boardman, OH-PA",10.0,6.8,200.0,35.0,0.13,0.095,135.0,58.0,15.0,,,,,,1981
0,10420,"Akron, OH",8.8,5.6,,,0.14,0.107,350.0,114.0,19.0,,,,,,1982
