month,year,county,amount,sales_type
4,2016,Adams,387146.0,medical
4,2016,Adams,3187313.0,retail
4,2016,Alamosa,,medical
4,2016,Arapahoe,7531661.0,retail
4,2016,Arapahoe,1682301.0,medical
4,2016,Archuleta,,retail
4,2016,Archuleta,,medical
4,2016,Boulder,5082136.0,retail
4,2016,Boulder,2706731.0,medical
4,2016,Chaffee,300638.0,retail
4,2016,Chaffee,,medical
4,2016,Clear Creek,423714.0,retail
4,2016,Clear Creek,80570.0,medical
4,2016,Conejos,221411.0,retail
4,2016,Costilla,,medical
4,2016,Costilla,184198.0,retail
4,2016,Denver,17690729.0,medical
4,2016,Denver,22606396.0,retail
4,2016,Eagle,231691.0,medical
4,2016,Eagle,820436.0,retail
4,2016,El Paso,8357949.0,medical
4,2016,El Paso,,retail
4,2016,Fremont,217581.0,medical
4,2016,Garfield,1153014.0,retail
4,2016,Garfield,468925.0,medical
4,2016,Gilpin,190800.0,retail
4,2016,Gilpin,,medical
4,2016,Grand,233601.0,retail
4,2016,Grand,,medical
4,2016,Gunnison,325678.0,retail
4,2016,Gunnison,,medical
4,2016,Huerfano,,retail
4,2016,Jefferson,1727954.0,medical
4,2016,Jefferson,3572554.0,retail
4,2016,La Plata,410448.0,medical
4,2016,Lake,,retail
4,2016,Larimer,1388304.0,medical
4,2016,La Plata,1598561.0,retail
4,2016,Las Animas,,medical
4,2016,Larimer,3233416.0,retail
4,2016,Mesa,,medical
4,2016,Las Animas,1258520.0,retail
4,2016,Moffat,,medical
4,2016,Mesa,,retail
4,2016,Montezuma,114171.0,medical
4,2016,Montezuma,727306.0,retail
4,2016,Montrose,,medical
4,2016,Morgan,,retail
4,2016,Morgan,,medical
4,2016,Ouray,,retail
4,2016,Ouray,,medical
4,2016,Park,199423.0,retail
4,2016,Park,,medical
4,2016,Pitkin,501414.0,retail
4,2016,Pitkin,88482.0,medical
4,2016,Pueblo,2069169.0,retail
4,2016,Pueblo,1248985.0,medical
4,2016,Routt,550366.0,retail
4,2016,Routt,188783.0,medical
4,2016,Saguache,,retail
4,2016,San Miguel,44771.0,medical
4,2016,San Juan,,retail
4,2016,Sedgwick,,medical
4,2016,San Miguel,138111.0,retail
4,2016,Summit,201583.0,medical
4,2016,Sedgwick,,retail
4,2016,Teller,,medical
4,2016,Summit,1391044.0,retail
4,2016,Weld,425780.0,medical
4,2016,Weld,2029498.0,retail
4,2016,Sum of NR Counties,631619.0,medical
4,2016,Sum of NR Counties,4310950.0,retail
10,2016,Adams,416490.0,medical
10,2016,Adams,4578245.0,retail
10,2016,Alamosa,,medical
10,2016,Arapahoe,8954428.0,retail
10,2016,Arapahoe,1472572.0,medical
10,2016,Archuleta,,retail
10,2016,Archuleta,,medical
10,2016,Boulder,5993882.0,retail
10,2016,Boulder,2202702.0,medical
10,2016,Chaffee,352254.0,retail
10,2016,Chaffee,,medical
10,2016,Clear Creek,486814.0,retail
10,2016,Clear Creek,69509.0,medical
10,2016,Conejos,380038.0,retail
10,2016,Costilla,,medical
10,2016,Costilla,265876.0,retail
10,2016,Denver,17196445.0,medical
10,2016,Denver,28578229.0,retail
10,2016,Eagle,173346.0,medical
10,2016,Eagle,852099.0,retail
10,2016,El Paso,8569109.0,medical
10,2016,El Paso,,retail
10,2016,Fremont,189039.0,medical
10,2016,Garfield,1608072.0,retail
10,2016,Garfield,342751.0,medical
10,2016,Gilpin,253131.0,retail
10,2016,Gilpin,,medical
10,2016,Grand,258512.0,retail
10,2016,Grand,,medical
10,2016,Gunnison,481440.0,retail
10,2016,Gunnison,,medical
10,2016,Huerfano,,retail
10,2016,Jefferson,1637140.0,medical
10,2016,Jefferson,4226976.0,retail
10,2016,La Plata,376178.0,medical
10,2016,Lake,198027.0,retail
10,2016,Larimer,1303215.0,medical
10,2016,La Plata,1954316.0,retail
10,2016,Las Animas,,medical
10,2016,Larimer,4204839.0,retail
10,2016,Mesa,,medical
10,2016,Las Animas,2343718.0,retail
10,2016,Moffat,,medical
10,2016,Mesa,,retail
10,2016,Montezuma,65684.0,medical
10,2016,Montezuma,1412949.0,retail
10,2016,Montrose,,medical
10,2016,Morgan,621119.0,retail
10,2016,Morgan,,medical
10,2016,Ouray,404670.0,retail
10,2016,Ouray,,medical
10,2016,Park,304140.0,retail
