DocID,FilerName,MemberName,State,District,Year,Destination,FilingType,DepartureDate,ReturnDate,TravelSponsor
500005076,Bobby Cornett,"Franks, Trent",AZ,8,2011,"Las Vegas, NV",Original,1/7/2011,1/9/2011,Consumer Electronics Association
500005077,Michael Strittmatter,"Franks, Trent",AZ,8,2011,"Las Vegas, NV",Original,1/7/2011,1/9/2011,CEA Leaders in Technology
500005081,Diane Rinaldo,"Rogers, Mike",AL,3,2011,"Las Vegas, NV",Original,1/6/2011,1/8/2011,Consumer Electronics Association
500005082,Kenneth DeGraff,"Doyle, Michael",PA,14,2011,"Las Vegas, NV",Original,1/6/2011,1/9/2011,Consumer Electronics Association
500005083,Michael Ryan Clough,"Lofgren, Zoe",CA,19,2011,"Las Vegas, NV",Original,1/6/2011,1/8/2011,Consumer Electronics Association
500005084,Eleen Trang,"Lofgren, Zoe",CA,19,2011,"Las Vegas, NV",Original,1/6/2011,1/8/2011,Consumer Electronics Association
500005085,Eric Werwa,"Honda, Michael M.",CA,17,2011,"Las Vegas, NV",Original,1/5/2011,1/8/2011,Consumer Electronics Association
500005086,Cedric Richmond,"Richmond, Cedric",LA,2,2011,"Raleigh, NC",Original,1/13/2011,1/13/2011,Southern Region Black Law Students Association
500005087,Roger Sherman,"Waxman, Henry A.",CA,33,2011,"Las Vegas, NV",Original,1/5/2011,1/7/2011,Consumer Electronics Association (CEA)
500005088,Greta H. Joynes,"Shimkus, John",IL,15,2011,"Las Vegas, NV",Original,1/6/2011,1/8/2011,Consumer Electronics Association
500005089,Amy Bos,"Sensenbrenner, F.",WI,5,2011,"Las Vegas, NV",Original,1/7/2011,1/9/2011,Leaders in Technology
500005090,James E. Clyburn,"Clyburn, James",SC,6,2011,"Kansas City, MO",Original,1/17/2011,1/18/2011,Southern Christian Leadership Conference of Greater Kansas City
500005093,Debbie Jessup,"Roybal-Allard, Lucille",CA,40,2011,"Miami, FL",Original,1/15/2011,1/17/2011,"Alliance for Health Reform, funded through a grant from the Commonwealth Fund"
500005095,Lucille Roybal-Allard,"Roybal-Allard, Lucille",CA,40,2011,"Fort Lauderdale, FL",Original,1/15/2011,1/16/2011,"Alliance for Health Reform, funded through a grant from the Commonwealth Fund"
500005096,Michael Beckerman,"Upton, Fred",MI,6,2011,"Las Vegas, NV",Original,1/6/2011,1/9/2011,Consumer Electronics Association
500005097,Timothy Daly,"Thompson, Mike",CA,5,2011,"Las Vegas, NV",Original,1/6/2011,1/8/2011,Consumer Electronics Association
500005098,Michael Ference,"Cantor, Eric",VA,7,2011,"Las Vegas, NV",Original,1/6/2011,1/9/2011,Consumer Electronics Association
500005099,Shawn H. Chang,"Waxman, Henry A.",CA,33,2011,"Las Vegas, NV",Original,1/6/2011,1/8/2011,Consumer Electronics Association
500005101,Joe McKeown,"Scott, Tim",SC,1,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005102,Laurent Crenshaw,"Issa, Darrell",CA,49,2011,"Las Vegas, NV",Original,1/6/2011,1/9/2011,Consumer Electronics Association
500005103,James Michael O'Neill,"Issa, Darrell",CA,49,2011,"Las Vegas, NV",Original,1/6/2011,1/9/2011,Consumer Electronics Association
500005104,Tim Scott,"Scott, Tim",SC,1,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005105,Laura Stevens Kent,"Dent, Charles",PA,15,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005106,Edward F. McDonald,"Coble, Howard",NC,6,2011,"Las Vegas, NV",Original,1/6/2011,1/10/2011,Consumers Electronics Association
500005107,Benjamin Branch,"Meeks, Gregory",NY,5,2011,"Las Vegas, NV",Original,1/6/2011,1/9/2011,Consumer Electronics Association
500005109,Marsha Blackburn,"Blackburn, Marsha",TN,7,2011,"Las Vegas, NV",Original,1/7/2011,1/9/2011,Consumer Electronics Association
500005110,Norberto Salinas,"Conyers, John",MI,13,2011,"Las Vegas, NV",Original,1/6/2011,1/8/2011,Consumer Electronics Association
500005111,John Mautz,"Coble, Howard",NC,6,2011,"Las Vegas, NV",Original,1/6/2011,1/10/2011,Consumer Electronics Association
500005112,John Sarbanes,"Sarbanes, John",MD,3,2011,"Fort Lauderdale, FL",Original,1/15/2011,1/17/2011,Alliance for Health Reform
500005113,Kelle Strickland,"Bonner, Jo",AL,1,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005114,William Inglee,"Rogers, Harold",KY,5,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005115,Brendan Belair,"Carter, John",TX,31,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005116,John Walker,"Carter, John",TX,31,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005117,Sean McLaughlin,"Smith, Lamar",TX,21,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005118,Bennie G. Thompson,"Thompson, Bennie",MS,2,2011,"Los Angeles, CA",Original,1/15/2011,1/15/2011,"The Los Angeles Alumni Chapter of Kappa Alpha Psi Fraternity, Inc."
500005119,Jeremy Deutsch,"McMorris Rodgers, Cathy",WA,5,2011,"Baltimore, DC",Original,1/13/2011,1/15/2011,The Congressional Institute
500005120,Paul Teller,"Jordan, Jim",OH,4,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005121,Jon Traub,"Camp, Dave",MI,4,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005122,Kathryn Strand,"Hensarling, Jeb",TX,5,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005123,Jo-Marie St. Martin,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005124,Sarah Makin,"Hensarling, Jeb",TX,5,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005127,Joshua M. Saltzman,"Sessions, Pete",TX,32,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005129,Anne Thorsen,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005131,Michael Sommers,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institue
500005132,Kevin Smith,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005133,Michael Dee Buchanan,"Hensarling, Jeb",TX,5,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005134,Brian Wild,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005135,Trevor Kolego,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005136,Daris Meeks,"Hensarling, Jeb",TX,5,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005137,Edward F. McDonald,"Coble, Howard",NC,6,2011,"Las Vegas, NV",Original,1/6/2011,1/10/2011,Consumers Electronics Association
500005138,Emily Seidel,"Hensarling, Jeb",TX,5,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005139,Leslee Gilbert,"Hall, Ralph M.",TX,4,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,The Congressional Institute
500005140,Brett Loper,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
500005141,Jim Cooper,"Cooper, Jim",TN,5,2011,"Fort Laurderdale, FL",Original,1/15/2011,1/17/2011,"Alliance for Health Reform, which received a grant for that purpose from The Commonwealth Fund"
500005142,Kristen Chaplin,"Boehner, John A.",OH,8,2011,"Baltimore, MD",Original,1/13/2011,1/15/2011,Congressional Institute
