code,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015
108,6401,6556,6742,6953,7182,7423,7675,7940,8212,8489,8767,9044,9320,9600,9892,10199
174,542,556,569,583,597,612,626,642,657,673,690,707,724,742,759,777
262,718,733,746,759,771,783,796,809,823,837,851,866,881,897,912,927
232,3393,3497,3615,3738,3859,3969,4067,4153,4233,4310,4391,4475,4561,4651,4746,4847
231,66537,68492,70497,72545,74624,76727,78851,81000,83185,85416,87703,90047,92444,94888,97367,99873
404,31450,32321,33214,34131,35075,36048,37052,38086,39148,40237,41350,42487,43647,44827,46024,47236
450,15767,16261,16765,17279,17803,18337,18880,19434,19996,20569,21152,21744,22347,22961,23590,24234
454,11376,11696,12014,12337,12676,13040,13429,13841,14271,14715,15167,15628,16097,16577,17069,17574
480,1185,1194,1202,1209,1216,1222,1228,1234,1239,1244,1248,1251,1253,1255,1257,1259
175,150,156,161,167,172,178,184,190,196,203,209,215,221,227,234,240
508,18068,18589,19140,19717,20313,20923,21547,22188,22847,23524,24221,24939,25677,26434,27212,28011
638,737,749,760,771,782,792,801,809,816,824,831,837,844,850,857,863
646,8026,8329,8536,8680,8818,8992,9207,9447,9708,9977,10247,10516,10789,11065,11345,11630
690,81,83,84,86,87,89,90,90,91,91,91,92,92,93,93,94
706,9011,9291,9564,9836,10116,10410,10718,11039,11369,11708,12053,12405,12764,13132,13513,13908
728,6701,6974,7237,7502,7788,8109,8468,8857,9263,9671,10067,10449,10818,11177,11531,11882
800,24039,24855,25718,26625,27568,28544,29551,30590,31664,32772,33915,35094,36307,37554,38833,40145
834,34178,35117,36106,37149,38250,39411,40635,41924,43270,44664,46099,47571,49083,50637,52235,53880
894,10531,10824,11120,11422,11732,12052,12383,12726,13083,13456,13850,14265,14700,15153,15621,16101
716,12222,12366,12501,12634,12778,12940,13124,13330,13558,13811,14086,14387,14711,15055,15412,15777
24,16441,16983,17573,18203,18866,19553,20262,20998,21759,22550,23369,24219,25096,25998,26920,27859
120,15274,15672,16085,16514,16959,17421,17900,18395,18907,19433,19970,20520,21082,21656,22240,22835
140,3755,3832,3908,3982,4055,4128,4202,4276,4345,4404,4449,4476,4490,4500,4515,4546
148,8343,8663,9002,9353,9710,10067,10422,10776,11134,11503,11887,12289,12705,13134,13569,14009
178,3226,3316,3407,3503,3605,3718,3842,3976,4115,4254,4387,4513,4633,4751,4871,4996
180,47076,48394,49836,51390,53034,54751,56543,58418,60374,62409,64523,66714,68979,71316,73723,76197
226,614,640,666,695,725,757,792,829,868,909,951,994,1039,1084,1129,1175
266,1231,1262,1294,1328,1364,1403,1445,1489,1536,1587,1640,1697,1757,1817,1876,1930
678,139,142,145,148,152,156,159,163,167,171,175,179,183,187,191,196
12,31184,31592,31995,32404,32831,33288,33778,34300,34861,35466,36118,36820,37566,38339,39113,39872
818,69906,71227,72590,73982,75382,76778,78159,79537,80954,82465,84108,85898,87813,89807,91813,93778
434,5356,5441,5528,5616,5705,5793,5881,5970,6053,6121,6169,6194,6198,6196,6204,6235
504,28850,29182,29512,29844,30179,30521,30869,31226,31597,31990,32410,32859,33334,33825,34318,34803
729,27251,27945,28680,29436,30186,30912,31607,32283,32955,33651,34386,35167,35990,36850,37738,38648
788,9699,9786,9864,9940,10018,10102,10196,10298,10407,10522,10640,10761,10887,11015,11144,11274
732,314,337,363,391,417,438,452,462,469,474,480,488,496,505,515,526
72,1728,1755,1780,1804,1829,1856,1884,1914,1946,1980,2015,2051,2089,2129,2169,2209
426,1869,1886,1902,1918,1934,1950,1966,1982,2000,2019,2041,2064,2090,2117,2146,2175
516,1899,1934,1962,1987,2009,2032,2056,2080,2106,2137,2173,2216,2264,2317,2371,2426
710,45728,46385,47026,47649,48247,48821,49365,49887,50412,50971,51585,52264,52998,53767,54540,55291
748,1061,1073,1081,1087,1095,1106,1121,1138,1159,1181,1203,1225,1248,1271,1295,1319
204,6866,7077,7295,7521,7750,7982,8217,8455,8697,8945,9199,9461,9729,10004,10287,10576
854,11608,11945,12293,12655,13031,13422,13829,14252,14690,15141,15605,16082,16571,17073,17586,18111
132,435,444,452,460,468,475,481,486,492,497,502,508,514,520,526,533
384,16687,17040,17367,17679,17998,18336,18699,19086,19498,19936,20401,20895,21419,21966,22531,23108
270,1232,1270,1311,1354,1399,1444,1491,1539,1589,1640,1692,1746,1802,1859,1918,1978
288,18939,19422,19925,20447,20987,21542,22113,22700,23299,23904,24512,25122,25733,26346,26963,27583
324,8809,8971,9137,9310,9490,9680,9881,10097,10323,10557,10794,11035,11281,11537,11806,12092
624,1243,1268,1294,1321,1350,1381,1413,1446,1481,1517,1556,1596,1638,1681,1726,1771
430,2885,2991,3063,3116,3176,3261,3376,3513,3663,3812,3948,4070,4182,4286,4391,4500
466,10968,11293,11639,12005,12392,12799,13227,13676,14138,14607,15075,15541,16007,16478,16963,17468
478,2709,2791,2873,2957,3043,3131,3221,3313,3408,3506,3610,3718,3830,3946,4064,4182
562,11353,11772,12206,12657,13127,13618,14132,14668,15229,15814,16426,17065,17732,18426,19148,19897
566,122352,125463,128667,131973,135394,138939,142614,146417,150347,154402,158578,162877,167297,171829,176461,181182
654,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
686,9884,10134,10397,10671,10956,11251,11557,11874,12204,12551,12916,13301,13704,14120,14546,14977
694,4564,4739,4957,5200,5440,5658,5849,6015,6165,6310,6459,6612,6766,6922,7079,7237
768,4970,5112,5251,5391,5535,5683,5838,5997,6162,6330,6503,6679,6859,7043,7229,7417
156,1283199,1290938,1298647,1306344,1314007,1321623,1329209,1336801,1344415,1352068,1359755,1367480,1375199,1382793,1390110,1397029
344,6664,6722,6759,6783,6803,6828,6860,6898,6940,6983,7025,7066,7106,7149,7195,7246
446,428,438,449,460,471,483,493,504,514,525,537,549,563,576,589,601
158,21840,21985,22143,22306,22462,22603,22725,22833,22929,23017,23102,23185,23264,23340,23414,23486
408,22929,23132,23337,23539,23729,23904,24061,24203,24335,24463,24592,24722,24854,24986,25116,25244
392,127534,127724,127903,128068,128214,128336,128433,128505,128551,128567,128552,128505,128426,128313,128163,127975
496,2397,2420,2444,2469,2497,2526,2558,2592,2628,2668,2713,2762,2814,2869,2924,2977
410,47386,47713,48005,48265,48498,48708,48896,49062,49219,49379,49553,49745,49952,50169,50386,50594
398,15057,15040,15106,15232,15386,15541,15691,15841,16001,16184,16399,16647,16921,17207,17488,17750
417,4921,4963,4991,5012,5038,5075,5127,5190,5262,5341,5422,5507,5594,5684,5775,5865
762,6216,6327,6448,6577,6713,6854,7001,7152,7310,7473,7642,7816,7995,8178,8363,8549
795,4516,4564,4610,4656,4703,4755,4810,4870,4936,5008,5087,5174,5268,5366,5466,5565
860,24849,25189,25512,25831,26160,26512,26890,27292,27716,28155,28606,29068,29541,30020,30500,30976
4,20094,20966,21980,23065,24119,25071,25893,26617,27294,28004,28803,29709,30697,31732,32758,33736
50,131581,134107,136601,139019,141307,143431,145368,147139,148806,150455,152149,153912,155727,157571,159405,161201
64,573,590,606,623,640,657,672,687,701,714,728,741,753,765,776,787
356,1053051,1071478,1089807,1108028,1126136,1144119,1161978,1179681,1197147,1214270,1230981,1247236,1263066,1278562,1293859,1309054
364,66132,67096,67983,68813,69617,70422,71228,72031,72846,73688,74568,75492,76454,77435,78411,79360
462,280,287,294,302,310,319,327,336,345,355,365,375,386,397,408,418
524,23741,24162,24566,24951,25309,25640,25941,26215,26476,26741,27023,27327,27650,27985,28323,28656
586,138523,141601,144654,147703,150780,153910,157094,160333,163645,167050,170560,174184,177912,181713,185546,189381
144,18782,18913,19059,19215,19373,19525,19670,19811,19946,20075,20198,20315,20425,20527,20624,20714
96,333,340,347,353,360,365,370,375,379,384,389,394,400,406,412,418
116,12152,12402,12635,12853,13063,13270,13474,13677,13881,14090,14309,14538,14777,15023,15271,15518
360,211540,214507,217508,220545,223615,226713,229838,232989,236159,239340,242524,245708,248883,252032,255131,258162
418,5329,5415,5497,5580,5665,5754,5849,5950,6052,6152,6246,6333,6415,6495,6576,6664
458,23186,23699,24199,24689,25174,25659,26144,26626,27111,27605,28112,28635,29170,29707,30228,30723
104,46095,46628,47140,47625,48074,48483,48846,49172,49480,49801,50156,50553,50987,51448,51924,52404
608,77992,79665,81352,83032,84678,86274,87809,89293,90752,92221,93727,95278,96867,98481,100102,101716
702,3914,4019,4131,4249,4370,4491,4612,4733,4851,4966,5074,5176,5271,5361,5448,5535
764,62958,63543,64073,64555,65002,65425,65824,66196,66546,66882,67209,67530,67844,68143,68417,68658
626,872,893,924,961,997,1026,1049,1065,1078,1092,1110,1132,1157,1184,1213,1241
704,80286,81140,81956,82748,83528,84309,85095,85890,86708,87565,88473,89437,90452,91498,92545,93572
51,3070,3051,3034,3018,3001,2981,2959,2933,2908,2889,2877,2876,2882,2894,2906,2917
