ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1997.3.2,1997,3 Wild Spaces  two of three,Andrew Dufford,Etched Granite,Goldsmith Gulch 3 locations,On Pathway,,3167752.69678,1665535.099,{00000000-0000-0000-0000-000000000000}
1997.3.3,1997,3 Wild Spaces  three of three,Andrew Dufford,Etched Granite,Goldsmith Gulch 3 locations,On Pathway,,3167791.01111,1666948.48219,{00000000-0000-0000-0000-000000000000}
2006.28.1,2006,Forgotten Landscapes,Shannon Kelly,Video Installation,Colorado Convention Center Hotel Hyatt,Exterior facing 15th St,,3142496.62341,1696208.8973,{00000000-0000-0000-0000-000000000000}
1913.1.1,1913,The Pied Piper of Hamelin,Dudley Carpenter,Oil Painting on Canvas,Decker Branch Library,,,3145483.08839,1676314.65712,{00000000-0000-0000-0000-000000000000}
1913.2.1,1913,King Arthur Recovering the Magic Sword Excalibur,Dudley Carpenter,Oil Painting on Canvas,Decker Branch Library,,,3145471.80439,1676318.99729,{00000000-0000-0000-0000-000000000000}
1913.3.1,1913,There is No Frigate Like a Book,Marie Woodson,Oil Painting on Canvas,Decker Branch Library,,,3145495.24128,1676314.65712,{00000000-0000-0000-0000-000000000000}
1919.1.1,1919,Dennis Sullivan Gateway Agriculture and Mining,Leo Lentelli,Stone,East High School ,Esplanade and Colfax,,3152705.74999,1695169.25001,{00000000-0000-0000-0000-000000000000}
1920.1.1,1920,The Trapper,Allen True,Oil Painting on Canvas,Civic Center Park,Greek Theatre,,3143764.88545,1694154.02357,{00000000-0000-0000-0000-000000000000}
1961.3.1,1961,The Bermese Nebula,Vance Kirkland ,"Oil,water, and gold on linen",Temple Buell Theatre Lobby,,On Loan from the Kirkland Museum.,3141183.21232,1696442.22851,{00000000-0000-0000-0000-000000000000}
1972.1.1,1972,Valedictorian,Abe Vigil,Painted Wood and Metal Sculpture,Governors Park,,,3145817.74747,1690362.03587,{00000000-0000-0000-0000-000000000000}
