Month,Year,Bellevue Library,Bordeaux Library,Donelson Library,East Library,Edgehill Library,Edmonson Pike Library,Goodlettsville Library,Green Hills Library,Hadley Park Library,Hermitage Library,Inglewood Library,Looby Library,Madison Library,Main Library,North Library,Old Hickory Library,Pruitt Library,Richland Park Library,Southeast Library,Thompson Lane Library,Watkins Library,Notes
8,2011,18641,8748,15560,8976,7018,25585,29273,54087,5968,20143,14376,11152,21055,61603,10029,4975,11284,13727,14675,10737,6389,
7,2011,18652,11985,15463,6254,6096,29813,26081,45639,5700,24383,13710,12566,22792,62337,9607,5096,16867,13451,13150,9462,8690,
9,2011,14720,9211,13867,8269,5168,21028,22286,44155,4636,16929,11588,8852,19260,56053,7048,4861,10478,10996,12073,8768,2569,
10,2011,15645,8998,14807,8501,6187,22850,21822,50397,5646,18352,13140,10414,23682,59960,7978,6390,10991,11201,13106,9881,4282,
11,2011,14203,6686,14579,9043,5692,20923,22341,39374,4548,16761,12323,9317,24809,53132,6713,5668,11577,10454,11791,8813,4019,
12,2011,13790,5963,12531,7427,5473,16838,20618,34248,4394,13256,10808,8123,24904,49460,6957,5380,8844,9209,9885,8015,4625,
1,2012,17093,7915,14091,6770,6789,22029,23648,42072,4943,17403,13506,9557,29500,57630,7367,7736,9055,11223,11876,8833,4070,
2,2012,15167,8788,13208,7333,6615,22247,27839,42859,4328,17136,12886,8453,29114,54632,8014,6589,7641,10807,11382,8988,4872,
3,2012,16047,7138,13016,8759,5802,21589,22350,38826,3814,17106,11703,8086,23565,58662,7668,5048,8056,11535,11544,9638,3930,
4,2012,14619,6765,12134,8370,5513,21054,22905,21518,4518,16775,12116,11270,20168,53183,7977,4787,9773,11280,11543,9530,3847,
5,2012,16500,8141,14002,8100,5773,21580,28428,23208,4690,17760,12546,13604,19592,58973,8178,3128,9503,12168,12718,10386,4210,
6,2012,19052,8979,15622,9103,7086,23986,25556,23104,5856,21134,13242,11714,18951,59658,11978,2458,14459,13311,13372,11899,4036,
7,2012,18629,12570,15358,6701,6950,27457,27311,24250,6539,22582,12888,10641,20606,56137,10207,1168,14739,10208,13051,10011,3911,
8,2012,17339,9060,14686,6893,6149,23483,26639,22542,5259,18221,12068,11163,20881,64731,9291,3507,12351,12009,13164,9920,5426,
9,2012,15636,8453,13640,7555,4897,19606,20536,19719,4715,16550,11149,10638,18315,58190,7143,4768,11341,10780,11555,8512,3724,
10,2012,16724,21174,15923,8571,6091,40774,22664,27792,5511,38290,12821,12341,36449,66405,9023,6499,12602,14715,12691,7741,5470,
11,2012,13721,9290,12735,6879,5885,18544,20256,19317,4506,16370,11624,10500,30676,52471,8052,4954,9056,9637,10250,7904,3886,
12,2012,13335,7436,12605,6436,4618,15702,18484,16681,4190,13245,3181,9397,24580,47687,8204,4826,8970,8665,9162,6691,3700,
1,2013,16362,9312,14164,7914,4896,18239,23276,25060,4653,16674,13583,11789,30617,55007,8586,6525,8370,11190,14635,8735,4096,
2,2013,14467,7870,13757,7055,3636,18143,20975,18721,4392,16810,12883,11743,25512,55088,7630,6711,6286,11597,12582,8444,4378,
3,2013,14664,7209,12636,6933,2928,17515,21086,19196,4554,15255,11177,11792,25175,53888,8361,5839,5598,11346,13091,8629,4828,
4,2013,15455,8626,14108,8447,4626,20137,19481,20628,4518,16157,12392,12744,22083,52822,8536,5468,6941,12644,13881,9223,5549,
5,2013,14394,8180,12863,8184,5268,20624,20598,19726,4645,15391,11875,11831,22658,57406,8600,5037,7500,13130,14109,8943,5206,
6,2013,16206,10193,14570,297,7027,24411,22227,21429,6720,18499,14947,14665,17308,66367,10103,4567,9373,11915,15315,9977,4864,
7,2013,17116,9704,14190,7234,6716,25057,23045,23327,6254,19139,13555,14194,19967,58370,10617,4810,12233,11911,17653,10790,4617,
8,2013,15144,8633,13859,7490,5457,23337,21403,22890,4775,17108,12031,10764,17012,58849,8800,995,10886,11998,15918,10054,5993,
9,2013,13426,8229,12649,7621,4585,21818,18487,20312,4879,16568,10664,9214,17656,54785,8201,0,9127,10420,14667,9546,5570,OLD HICKORY LIBRARY CLOSED FOR RENOVATION 
10,2013,14357,9739,14048,7811,6762,21520,20724,21215,5145,17968,12919,13102,25368,73529,9015,0,11295,12413,14467,10104,6709,OLD HICKORY LIBRARY CLOSED FOR RENOVATION 
11,2013,11929,8220,12289,7191,4708,15622,19009,17542,4067,13612,10326,8990,22793,58710,7031,0,8303,10559,11693,7693,4658,OLD HICKORY LIBRARY CLOSED FOR RENOVATION 
12,2013,11350,6695,11882,7690,0,14146,16737,17522,3749,12858,9454,8880,23853,57208,8012,0,8808,11014,13543,6734,6054,OLD HICKORY AND EDGEHILL  LIBRARY CLOSED FOR RENOVATION 
1,2014,10711,7496,13446,8007,2278,16660,8401,21383,4000,14293,11469,9291,26100,65860,6994,2076,6701,11874,14473,7401,4446,
2,2014,11844,6922,13097,7155,5414,16390,7433,18852,3591,14725,11207,10270,24802,65648,5995,4377,3137,6989,13850,7319,4145,
3,2014,13290,8300,14224,7167,5210,26370,8569,22776,4318,17782,10586,10900,28705,66950,6074,4894,3145,11338,14362,8536,5170,
4,2014,12570,9867,13234,8233,4019,25300,8766,20846,4007,16334,9726,10549,28642,65311,4479,3898,930,18741,13463,8490,3124,
5,2014,11968,9833,12794,7703,5150,23515,8180,21274,4210,15335,8373,11297,22463,64885,5545,3278,0,16539,13766,8578,3673,PRUITT LIBRARY CLOSED FOR RENOVATION 
6,2014,16612,9591,17296,9537,5654,29582,10852,22694,6281,14287,13303,14029,18460,65211,8432,4013,2867,17235,16459,9853,5172,
7,2014,16985,11934,15143,11510,5522,33075,9646,22706,6281,21710,13999,14493,22220,67723,9902,3495,4384,20182,16149,9534,1166,
8,2014,12673,10469,13254,13213,4787,29991,8199,20041,4991,18524,12884,10057,17851,69165,7430,3353,3528,16154,14860,8708,4122,
9,2014,12019,9434,12089,12651,4487,25900,8164,18212,4534,16531,11737,10177,18400,64795,6578,3802,2655,16898,13660,8215,5170,
10,2014,11012,14179,11627,11934,4511,33164,10547,20640,3945,26379,11795,9383,30123,73041,987,4542,2810,17839,9297,9030,4874,
11,2014,10790,7540,8674,10989,4778,19263,6682,16868,3855,14539,10834,6858,24949,62515,0,4692,3217,16324,19475,7429,5213,NORTH LIBRARY CLOSED FOR RENOVATION 
12,2014,10680,8224,9211,10572,4190,16821,8182,15356,4399,12551,11436,8010,20708,61135,0,5027,3501,16961,20249,6641,4888,
1,2015,7131,8913,8427,12449,4454,19861,8049,18981,4351,14698,11315,4143,23378,61656,4664,5381,3692,18442,15829,6942,6162,
2,2015,16584,9824,7036,10863,3894,17252,6967,18310,3454,13498,10504,0,21529,53930,8261,4734,2537,15845,13317,5867,4506,LOOBY LIBRARY CLOSED FOR RENOVATION 
3,2015,14843,10044,7886,12617,4006,20487,7383,20368,4772,15911,10965,2970,21549,66626,6650,5557,2567,15680,16754,7162,6074,
4,2015,15295,0,8600,12113,4370,22077,7576,19879,4880,15280,11194,11972,20250,67546,7544,3981,2195,16648,15796,7396,5668,BORDEAUX LIBRARY CLOSED FOR RENOVATION 
5,2015,16112,0,11154,12583,3871,22433,7452,19643,4607,14104,10387,12224,18026,64815,6293,3719,2428,15805,18336,6513,4953,BORDEAUX LIBRARY CLOSED FOR RENOVATION 
6,2015,19657,0,12736,11075,5124,27192,9359,22457,6533,17313,12726,13810,20580,67407,10326,3722,3591,17040,19848,8751,6778,BORDEAUX LIBRARY CLOSED FOR RENOVATION 
7,2015,19823,0,12073,10419,4583,29493,9180,27706,4901,22014,12953,12135,24626,62233,9374,3612,2873,16056,18658,7999,6960,BORDEAUX LIBRARY CLOSED FOR RENOVATION 
8,2015,19056,0,12437,12715,5178,27853,8555,30169,4547,22324,12668,12107,22344,62568,8804,3324,1270,18014,16063,7941,6418,BORDEAUX LIBRARY CLOSED FOR RENOVATION 
9,2015,18353,0,11216,11680,4445,23876,7692,23849,3794,19673,11922,10949,24202,63527,7732,3417,1527,17245,11265,6339,5865,BORDEAUX LIBRARY CLOSED FOR RENOVATION 
10,2015,17329,2723,13170,12189,4188,0,8195,21115,4042,15447,11624,9379,22288,71416,9322,3883,2983,17713,17760,8096,4546,EDMONSON PIKE LIBRARY CLOSED FOR RENOVATION 
11,2015,16275,7825,11769,10873,3612,0,6422,20324,3064,13914,9712,6445,20545,51285,6019,5417,5148,15478,14927,6758,3903,EDMONSON PIKE LIBRARY CLOSED FOR RENOVATION 
12,2015,12315,8086,10429,10883,3610,0,6680,18199,2949,13186,10047,8539,21266,61611,6806,3454,7617,13500,14295,7121,5084,EDMONSON PIKE LIBRARY CLOSED FOR RENOVATION 
1,2016,15832,8452,10667,10032,4137,0,6467,21746,2829,13694,9690,7924,24959,52696,6725,3767,5728,9554,14272,7213,3829,EDMONSON PIKE LIBRARY CLOSED FOR RENOVATION 
