Disaster Nbr,Disaster Type,Disaster Name,State,Service Office,Declaration Dt,Declaration FY,Deadline Dt,Rec Created Dt,Declaration Type Cd
273802,2,NORTHRIDGE QUAKE,CA,9040,1/17/1994 0:00:00,1994,10/17/1994 0:00:00,9/15/1994 0:00:00,P
330406,6,MICHIGAN STORMS/FLOODING,MI,9020,10/17/2000 0:00:00,2000,12/16/2000 0:00:00,10/18/2000 0:00:00,P
102228,8,Hurricane Wilma,FL,9050,10/24/2005 0:00:00,2006,1/31/2006 0:00:00,10/24/2005 0:00:00,P
180206,06,CA FLOODING,CA,9040,2/21/1980 0:00:00,1980,4/21/1980 0:00:00,9/1/1988 0:00:00,P
12576B,B,"Severe Storms, Tornadoes, and Flooding",MO,9050,5/9/2011 0:00:00,2011,7/8/2011 0:00:00,4/25/2011 0:00:00,P
238308,08,HURRICANE HUGO,PR,9010,9/21/1989 0:00:00,1989,11/21/1989 0:00:00,10/20/1989 0:00:00,P
314611,11,KANSAS STORMS/FLOODING,KS,9030,11/5/1998 0:00:00,1998,1/4/1999 0:00:00,11/9/1998 0:00:00,P
347508,8,GUAM SUPERTYPHOON PONGSONA,GU,9040,12/19/2002 0:00:00,2002,2/18/2003 0:00:00,12/20/2002 0:00:00,P
101768,8,Hurricane Katrina,LA,9050,8/29/2005 0:00:00,2005,4/10/2006 0:00:00,8/29/2005 0:00:00,P
212107,07,TEXAS FREEZE,TX,9030,3/15/1984 0:00:00,1984,5/14/1984 0:00:00,7/7/1988 0:00:00,A
102058,8,Hurricane Rita,LA,9050,9/24/2005 0:00:00,2005,4/10/2006 0:00:00,9/25/2005 0:00:00,P
254611,11,NJ COASTAL STORM,NJ,9010,1/3/1992 0:00:00,1992,3/5/1992 0:00:00,2/10/1992 0:00:00,A
282406,6,PENNSYLVANIA 96 FLOODS,PA,9030,1/21/1996 0:00:00,1996,3/21/1996 0:00:00,1/26/1996 0:00:00,P
311509,9,"KELSO,WA LANDSLIDES",WA,9040,7/31/1998 0:00:00,1998,10/1/1998 0:00:00,8/4/1998 0:00:00,A
192714,14,"Drought, Grasshopper Infestation, Chinch Bug Infestation",KS,9030,9/26/1980 0:00:00,1980,3/26/1981 0:00:00,,A
215112,12,TORNADOES,MO,9030,6/20/1984 0:00:00,1984,8/20/1984 0:00:00,8/8/1987 0:00:00,A
269802,2,NORTHRIDGE EARTHQUAKE,CA,9040,1/17/1994 0:00:00,1994,3/18/1994 0:00:00,3/30/1994 0:00:00,P
258608,8,HURRICANE ANDREW,FL,9020,8/24/1992 0:00:00,1992,7/1/1993 0:00:00,5/13/1993 0:00:00,P
145711,1,"Excessive Rain, High Winds, and Hail",KS,9050,12/2/2015 0:00:00,2016,,12/3/2015 0:00:00,S
361508,8,HURRICANE CHARLEY,FL,9020,8/13/2004 0:00:00,2004,10/12/2004 0:00:00,8/19/2004 0:00:00,P
292711,11,WA STORMS & FLOODING,WA,9040,1/17/1997 0:00:00,1997,3/18/1997 0:00:00,1/22/1997 0:00:00,P
122016,6,Severe Storms and Flooding,CT,9050,5/28/2010 0:00:00,2010,7/27/2010 0:00:00,3/30/2010 0:00:00,P
269702,2,LA EARTHQUAKE,CA,9040,1/17/1994 0:00:00,1994,3/18/1994 0:00:00,1/19/1994 0:00:00,P
190308,08,HURRICANE ALLEN,TX,9030,8/11/1980 0:00:00,1980,10/11/1980 0:00:00,11/14/1988 0:00:00,P
9M4900,0,WORLD TRADE CTR TERRORIST EXPLOSION,NY,9010,9/11/2001 0:00:00,2001,6/11/2002 0:00:00,6/3/2002 0:00:00,P
118866,6,Severe Storms and Flooding,GA,9050,9/24/2009 0:00:00,2009,11/23/2009 0:00:00,9/24/2009 0:00:00,P
9J0001,1,AG/LA DROUGHT,LA,9030,9/15/2000 0:00:00,2000,5/15/2001 0:00:00,10/20/2000 0:00:00,S
101788,8,Hurricane Katrina,MS,9050,8/29/2005 0:00:00,2005,4/10/2006 0:00:00,8/29/2005 0:00:00,P
345911,11,"SEVERE STORMS, TORNADOES, FLOODING",TX,9030,11/5/2002 0:00:00,2002,1/6/2003 0:00:00,11/6/2002 0:00:00,P
314511,11,STORMS/FLOODING/TORNADOES,TX,9030,10/21/1998 0:00:00,1998,12/19/1998 0:00:00,10/22/1998 0:00:00,P
229202,02,EARTHQUAKE,CA,9040,10/9/1987 0:00:00,1987,12/7/1987 0:00:00,11/24/1989 0:00:00,P
266406,6,MISS. RIVER FLOODING,MN,9020,7/10/1993 0:00:00,1993,9/10/1993 0:00:00,7/13/1993 0:00:00,P
355306,6,EXCESSIVE RAIN & FLOODING,TX,9030,10/7/2003 0:00:00,2004,12/8/2003 0:00:00,10/7/2003 0:00:00,A
868801,1,7 IA CYS-STORMS,IA,9030,10/10/1995 0:00:00,1995,6/11/1996 0:00:00,12/8/1995 0:00:00,S
304506,6,FL STORMS/FLOODING,FL,9020,1/6/1998 0:00:00,1998,3/7/1998 0:00:00,1/7/1998 0:00:00,P
225106,06,FLOOD,MI,9020,9/23/1986 0:00:00,1986,11/17/1986 0:00:00,11/5/1987 0:00:00,P
255306,6,CA/RAIN/FLOOD,CA,9040,2/25/1992 0:00:00,1992,4/27/1992 0:00:00,3/4/1992 0:00:00,P
120986,6,Severe Storms and Flooding,RI,9050,3/29/2010 0:00:00,2010,5/28/2010 0:00:00,3/22/2010 0:00:00,P
212802,02,AG,CA,9040,5/2/1984 0:00:00,1984,7/2/1984 0:00:00,8/15/1987 0:00:00,A
266106,6,MISS. RIVER FLOODING,IA,9030,7/9/1993 0:00:00,1993,9/7/1993 0:00:00,7/13/1993 0:00:00,P
864400,0,HURRICANE OPAL,FL,9020,10/4/1995 0:00:00,1995,7/5/1996 0:00:00,10/12/1995 0:00:00,P
294906,6,MINNESOTA FLOODING AND STORMS,MN,9020,4/8/1997 0:00:00,1997,6/7/1997 0:00:00,4/9/1997 0:00:00,P
363208,8,TROPICAL DEPRESSION IVAN,PA,9010,9/19/2004 0:00:00,2004,11/18/2004 0:00:00,10/28/2004 0:00:00,P
226206,06,FLOODING,GU,9040,12/11/1986 0:00:00,1986,2/9/1987 0:00:00,8/15/1987 0:00:00,P
363508,8,HURRICANE JEANNE,FL,9020,9/26/2004 0:00:00,2004,11/26/2004 0:00:00,9/27/2004 0:00:00,P
143906,6,Flash Flooding - EIDL,KY,9050,7/24/2015 0:00:00,2015,9/22/2015 0:00:00,7/10/2015 0:00:00,A
121006,6,Severe Storms and Flooding,MA,9050,3/29/2010 0:00:00,2010,5/28/2010 0:00:00,3/17/2010 0:00:00,P
343611,11,CHUUK - TROPICAL STORM CHATA'AN,FM,9040,7/26/2002 0:00:00,2002,9/24/2002 0:00:00,7/31/2002 0:00:00,P
235112,12,NC FLOODING,NC,9020,5/17/1989 0:00:00,1989,7/17/1989 0:00:00,6/8/1989 0:00:00,P
313211,11,TROPICAL STORM FRANCES,TX,9030,9/23/1998 0:00:00,1998,11/22/1998 0:00:00,9/24/1998 0:00:00,P
291411,11,NY SEVERE STORM AND FLOODING,NY,9010,11/19/1996 0:00:00,1996,1/18/1997 0:00:00,1/17/1997 0:00:00,P
114188,8,Hurricane Gustav,LA,9050,9/2/2008 0:00:00,2008,11/3/2008 0:00:00,9/2/2008 0:00:00,P
310211,11,WVA STORMS,WV,9010,7/1/1998 0:00:00,1998,8/30/1998 0:00:00,7/2/1998 0:00:00,P
221608,08,HURRICANE JUAN,LA,9030,11/5/1985 0:00:00,1985,1/2/1986 0:00:00,8/8/1987 0:00:00,P
342811,11,SEVERE STORMS AND FLOODS,TX,9030,7/4/2002 0:00:00,2002,9/2/2002 0:00:00,7/5/2002 0:00:00,P
342311,11,"SEVERE STORMS, FLOODING, TORNADOES",MN,9020,6/14/2002 0:00:00,2002,8/13/2002 0:00:00,6/14/2002 0:00:00,P
238702,2,SAN FRANCISCO EARTHQUAKE,CA,9040,10/23/1989 0:00:00,1989,12/18/1989 0:00:00,12/18/1990 0:00:00,P
208106,06,FLOOD,LA,9030,4/25/1983 0:00:00,1983,6/20/1983 0:00:00,1/21/1988 0:00:00,P
118626,6,Severe Storms and Flooding,KY,9050,9/4/2009 0:00:00,2009,11/3/2009 0:00:00,8/27/2009 0:00:00,A
281108,8,HURRICANE MARILYN,VI,9010,9/16/1995 0:00:00,1995,11/14/1995 0:00:00,9/20/1995 0:00:00,P
156111,11,Natural Disasters,TX,9030,2/9/1979 0:00:00,1979,8/7/1979 0:00:00,,A
223106,06,FLOODING,CA,9040,2/24/1986 0:00:00,1986,4/24/1986 0:00:00,8/15/1987 0:00:00,P
13586C,C,"Severe Storms, Tornadoes and Flooding",OK,9050,5/20/2013 0:00:00,2013,7/19/2013 0:00:00,5/20/2013 0:00:00,P
114308,8,Hurricane Ike,TX,9050,9/13/2008 0:00:00,2008,11/12/2008 0:00:00,9/13/2008 0:00:00,P
141326,6,Severe Storms and Flooding,MI,9050,9/25/2014 0:00:00,2014,11/24/2014 0:00:00,8/22/2014 0:00:00,P
330206,6,MIAMI FLOODING,FL,9020,10/4/2000 0:00:00,2000,12/3/2000 0:00:00,10/5/2000 0:00:00,P
334708,8,TROPICAL STORM ALLISON,TX,9030,6/9/2001 0:00:00,2001,8/8/2001 0:00:00,6/11/2001 0:00:00,P
332002,2,EARTHQUAKE,WA,9040,3/1/2001 0:00:00,2001,4/30/2001 0:00:00,3/2/2001 0:00:00,P
249312,12,GA TORNADOES,GA,9020,4/10/1991 0:00:00,1991,6/10/1991 0:00:00,4/16/1991 0:00:00,A
133658,8,Hurricane Sandy,NY,9050,10/30/2012 0:00:00,2013,12/31/2012 0:00:00,10/30/2012 0:00:00,P
140176,6,"Heavy Rainfall, Strong Winds and Flooding",OH,9050,6/5/2014 0:00:00,2014,8/4/2014 0:00:00,5/22/2014 0:00:00,A
102238,8,Hurricane Wilma- EIDL,FL,9050,10/24/2005 0:00:00,2006,,10/24/2005 0:00:00,P
122906,6,Severe Storms and Flooding,IL,9050,8/19/2010 0:00:00,2010,10/18/2010 0:00:00,8/3/2010 0:00:00,P
293406,6,OHIO FLOODING,OH,9020,3/4/1997 0:00:00,1997,5/3/1997 0:00:00,3/5/1997 0:00:00,P
292511,11,CALIF.FLOODING,CA,9040,1/4/1997 0:00:00,1997,3/5/1997 0:00:00,1/7/1997 0:00:00,P
207106,06,FLOOD,MO,9030,12/13/1982 0:00:00,1982,2/11/1983 0:00:00,1/21/1988 0:00:00,P
11264C,C,"Severe Storms, Tornadoes, and Flooding",IA,9050,5/27/2008 0:00:00,2008,9/29/2008 0:00:00,5/27/2008 0:00:00,P
